"id","species","primary_breed","secondary_breed","gender","altered","age_intake","age_group","intake_asilomar","intake_condition","intake_date","intake_type","intake_subtype","intake_reason","intake_sitename","agency_name","outcome_asilomar","release_date","outcome_date","outcome_type","outcome_subtype","outcome_sitename","outcome_city","outcome_state","outcome_ZIP","wait_days","wday_intake","data.card.id","animal_type","date_start","checklist_ACCT","checklist_CHQ","checklist_LL","checklist_PP","checklist_SPCA","checklist_TR","checklist_VET","wday_start","date_submitted","ideal_adoption_timeline","reason_for_adoption","specific_animal","adults_in_home","children_in_home","all_household_agree","allergies","home_owner","home_pet_policy","budget_monthly","budget_emergency","home_alone_avg","home_alone_max","return_pet","how_heard","reason.for.adoption_gift_ind","reason.for.adoption_mouser_ind","reason.for.adoption_my.kids_ind","reason.for.adoption_myself_ind","reason.for.adoption_other_ind","reason.for.adoption_protection_ind","experience_bred.sold_ind","experience_current.housemates.pet_ind","experience_currently.have.pet_ind","experience_euthanized_ind","experience_given.away_ind","experience_given.to.shelter_ind","experience_grew.up.with_ind","experience_never.lived.with_ind","experience_past.housemates.pet_ind","experience_pet.died.in.care_ind","experience_pet.ran.away_ind","pet.kept_crate_ind","pet.kept_inside.only_ind","pet.kept_inside.outside_ind","pet.kept_inside.with.yard.access_ind","pet.kept_leash.harness_ind","pet.kept_other_ind","pet.kept_outside.only_ind","pet.kept_supervised.in.my.yard_ind","pet.kept_unsupervised.access.to.my.yard.9doggie.door.etc_ind","pet.kept_unsupervised.access.to.my.yard.doggie.door.etc_ind","exercise_dog.parks_ind","exercise_jogging.together_ind","exercise_not.much_ind","exercise_other.pets_ind","exercise_playing.in.my.yard_ind","exercise_toys_ind","exercise_walks.off.leash_ind","exercise_walks.on.leash_ind","needs_declaw_ind","needs_groom.myself_ind","needs_nail.clip_ind","needs_no.grooming_ind","needs_not.sure_ind","needs_other_ind","needs_professional.groomer_ind","needs_scratching.post_ind","return_allergies.appear_ind","return_becomes.aggressive_ind","return_destructive_ind","return_jumps.on.furniture_ind","return_moving.too.far_ind","return_new.baby_ind","return_not.allowed.new.living.space_ind","return_not.enough.time_ind","return_not.housebroken_ind","return_other_ind","return_pet.sheds_ind","return_too.playful_ind","return_vet.becomes.expensive_ind","return_ind"
"5bc8fdb45224841dc1c73c0c","Cat","Domestic Shorthair","Mix","M","Yes",95,"4 to 6 years","Healthy","Healthy",2018-09-30,"Return","Returned Adoption","Allergic to Animal","PAC",NA,"Healthy",2018-10-18,2018-10-18,"Adoption","PAC","PAC","PHILADELPHIA","PA",19121,18,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5bbbc176bc122657ab9600c9","Cat","Domestic Shorthair","Mix","M","Yes",95,"6 to 12 weeks","Healthy","Healthy",2018-09-30,"Return","Returned Adoption","Allergic to Animal","PAC",NA,"Healthy",2018-10-20,2018-10-20,"Adoption","PAC","PAC","CHERRY HILL","NJ",8002,20,"Sun","5bbbc176bc122657ab9600c9","cat","2018-10-08 20:43:34",NA,5.91,5.91,5.91,NA,5.91,2.96,"Mon",2018-10-08,"today","myself",TRUE,"0",0,"yes","no-allergies","myself",NA,500,500,12,13,"none","website",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5b343d8f7507c6441d3f7ab0","Dog","Bichon Frise","Mix","M","Yes",100,"6 to 10 years","Treatable-Rehabilitatable","Sick",2018-06-17,"Transfer In","Partner Transfer In","Rescue","Grays Ferry Avenue","ACCT Philly","Treatable-Rehabilitatable",2018-07-07,2018-07-07,"Adoption","Grays Ferry Avenue","Grays Ferry Avenue","PHILADELPHIA","PA",19104,20,"Sun","5b343d8f7507c6441d3f7ab0","dog","2018-06-28 01:44:47",NA,0.65,0.65,0.65,NA,0,1.95,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5be9f044b7a8f60eafcfcf59","Cat","Domestic Shorthair","Mix","M","Yes",83,"4 to 6 weeks","Healthy","Healthy",2018-05-12,"Return","Returned Adoption","Moving","PAC",NA,"Healthy",2018-11-30,2018-11-30,"Adoption","Foster Home","PAWS Foster Program","PHILADELPHIA","PA",19145,202,"Sat","5be9f044b7a8f60eafcfcf59","cat","2018-11-12 21:27:32",NA,0.9,0.9,0.9,NA,0.9,0.89,"Mon",2018-11-12,"next-few-weeks","myself",TRUE,"1",0,"yes","no-allergies","myself",NA,120,1000,8,NA,"none","website",0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5be9f044b7a8f60eafcfcf59","Cat","Domestic Medium Hair","Mix","F","Yes",83,"4 to 6 weeks","Healthy","Healthy",2018-05-12,"Return","Returned Adoption","Moving","PAC",NA,"Healthy",2018-11-30,2018-11-30,"Adoption","Foster Home","PAWS Foster Program","PHILADELPHIA","PA",19145,202,"Sat","5be9f044b7a8f60eafcfcf59","cat","2018-11-12 21:27:32",NA,0.9,0.9,0.9,NA,0.9,0.89,"Mon",2018-11-12,"next-few-weeks","myself",TRUE,"1",0,"yes","no-allergies","myself",NA,120,1000,8,NA,"none","website",0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5b19b60e0479e4d76afb674c","Cat","Domestic Shorthair","Mix","F","Yes",105,"1 to 2 years","Healthy","Healthy",2018-05-30,"Return","Returned Adoption","Change in Lifestyle","PAC",NA,"Healthy",2018-06-10,2018-06-10,"Adoption","PAC","PAC","PHILADELPHIA","PA",19146,11,"Wed","5b19b60e0479e4d76afb674c","cat","2018-06-07 22:47:42",NA,0.01,0.01,0.01,NA,0.01,0.01,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5b8eb3a0383d02202de88236","Cat","Domestic Shorthair","Mix","M","Yes",87,"4 to 6 years",NA,"Sick",2018-12-11,"Transfer In","Partner Transfer In","Rescue","Grays Ferry Avenue","ACCT Philly","Healthy",2019-01-18,2019-01-18,"Adoption","Foster Home","PAWS Foster Program","PHILADELPHIA","PA",19103,38,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5b50ff4404a715a824322c70","Cat","Domestic Longhair","Mix","F","Yes",124,"2 to 4 years","Treatable-Rehabilitatable","Healthy",2018-06-25,"Return","Returned Adoption","Moving","Grant Avenue",NA,"Healthy",2018-12-28,2018-12-28,"Adoption","Grant Avenue","Grant Avenue","PHILADELPHIA","PA",19154,186,"Mon","5b50ff4404a715a824322c70","cat","2018-07-19 21:14:44",NA,0.85,0.86,0.85,NA,0.85,3.8,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5c353d187291de76f24da7f9","Cat","Domestic Shorthair","Mix","F","Yes",82,"12 weeks to 6 months","Healthy","Healthy",2019-01-09,"Return","Returned Adoption","Aggression to Animals","PAC",NA,"Healthy",2019-01-09,2019-01-09,"Adoption","Foster Home","PAWS Foster Program","PHILADELPHIA","PA",19142,0,"Wed","5c353d187291de76f24da7f9","cat","2019-01-09 00:15:20",NA,0,0,0,NA,0,0,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5b9a7ede9278c16d29fa188c","Cat","Domestic Shorthair","Mix","F","Yes",78,"12 weeks to 6 months","Healthy","Healthy",2018-08-22,"Return","Returned Adoption","Health of Animal","PAC",NA,"Healthy",2018-09-14,2018-09-14,"Adoption","Foster Home","PAWS Foster Program","PHILADELPHIA","PA",19106,23,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-09-13,"one-month-or-more","myself",TRUE,"1",0,"yes","no-allergies","company","yes",250,5000,3,24,"none","other",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ae3689071177772ebcff47c","Cat","Domestic Longhair","Mix","F","Yes",83,"4 to 6 years","Healthy","Healthy",2018-04-17,"Transfer In","Partner Transfer In","Rescue","Grays Ferry Avenue","ACCT Philly","Healthy",2018-04-29,2018-04-29,"Adoption","PAC","PAC","PHILADELPHIA","PA",19146,12,"Tue","5ae3689071177772ebcff47c","cat","2018-04-27 18:14:40",NA,0,0,0,NA,0,0,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5b22c095382550397aea5120","Cat","Domestic Shorthair","Mix","F","Yes",80,"1 to 2 years","Healthy","Healthy",2018-06-11,"Return","Returned Adoption","Behavior Issues","PAC",NA,"Healthy",2018-06-14,2018-06-14,"Adoption","PAC","PAC","PHILADELPHIA","PA",19148,3,"Mon","5b22c095382550397aea5120","cat","2018-06-14 19:23:01",NA,0,0,0,NA,0,0,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5b36521866e68d0708815bad","Cat","Domestic Shorthair","Mix","M","Yes",88,"1 to 2 years","Healthy","Healthy",2018-06-05,"Return","Returned Adoption","Aggression to Animals","PAC",NA,"Healthy",2018-07-06,2018-07-06,"Adoption","PAC","PAC","PHILADELPHIA","PA",19148,31,"Tue","5b36521866e68d0708815bad","cat","2018-06-29 15:36:56",NA,0,4.29,0,NA,0,0,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5b511645aa8d78d20fd7e69b","Cat","Domestic Shorthair","Mix","M","Yes",69,"6 to 12 weeks","Healthy","Healthy",2018-07-03,"Return","Returned Adoption","Behavior Issues","PAC",NA,"Healthy",2018-07-20,2018-07-20,"Adoption","PAC","PAC","PHILADELPHIA","PA",19145,17,"Tue","5b511645aa8d78d20fd7e69b","cat","2018-07-19 22:52:53",NA,0,NA,0,NA,0,0,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5bdc985aecb09f3bf5ca72e2","Dog","Chihuahua, Short Coat","Mix","F","Yes",82,"1 to 2 years","Healthy","Healthy",2018-08-23,"Owner/Guardian Surrender","In Person Surrender to Shelter","Health of Owner / Family","Grays Ferry Avenue",NA,"Healthy",2018-11-22,2018-11-22,"Adoption","Foster Home","PAWS Foster Program","LAFAYETTE HILL","PA",19444,91,"Thu","5bdc985aecb09f3bf5ca72e2","dog","2018-11-02 18:32:58",NA,0.06,0.05,0.06,NA,0.06,0.05,"Fri",2018-11-02,"few-weeks","myself",TRUE,"0",0,"yes","no-allergies","myself",NA,300,2000,3,4,"becomes-aggressive,destructive","facebook",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"5b4bb1e616f545a1093a12db","Cat","Domestic Shorthair","Mix","M","Yes",132,"6 to 10 years","Healthy","Healthy",2018-02-10,"Return","Returned Adoption","Allergic to Animal","Grant Avenue",NA,"Healthy",2018-07-17,2018-07-17,"Adoption","Grant Avenue","Grant Avenue","PHILADELPHIA","PA",19136,157,"Sat","5b4bb1e616f545a1093a12db","cat","2018-07-15 20:43:18",NA,0,0,0,NA,0,0,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5bb4db21e8b0ef72f75f8e1e","Cat","Domestic Shorthair","Mix","M","Yes",62,"6 to 12 weeks","Healthy","Healthy",2018-05-30,"Return","Returned Adoption","Behavior Issues","Grant Avenue",NA,"Healthy",2018-10-05,2018-10-05,"Adoption","Grant Avenue","Grant Avenue","FURLONG","PA",18925,128,"Wed","5bb4db21e8b0ef72f75f8e1e","cat","2018-10-03 15:07:13",NA,0.04,0.05,0.04,NA,0.04,0.04,"Wed",2018-09-23,"one-month-or-more","myself",TRUE,"1",0,"yes","not-sure","company","yes",60,100,6,6,"litter-box-issues","website",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
